run_id,dataset,missing_rate,degradation_mode,quality_module,uncertainty_module,seed,epochs,train_loss,valid_loss,mae,corr,acc7,acc5,acc2_non_zero,f1_non_zero,acc2,f1,note
pilot_mosi_dare_mr02_s2222_e20,MOSI,0.2,multi-level,on,on,2222,20,0.5227,1.3708,0.7625,0.7866,0.4402,0.4927,0.8369,0.8371,0.8251,0.8248,pilot multi-seed check on MOSI seed=2222
pilot_mosi_dare_mr03_s2222_e20,MOSI,0.3,multi-level,on,on,2222,20,0.6020,1.4682,0.7624,0.7700,0.4300,0.4869,0.8201,0.8200,0.8032,0.8025,pilot multi-seed check on MOSI seed=2222
pilot_mosi_dare_mr05_s2222_e20,MOSI,0.5,multi-level,on,on,2222,20,0.6068,1.4240,0.8181,0.7502,0.3994,0.4490,0.7912,0.7919,0.7726,0.7725,pilot multi-seed check on MOSI seed=2222
official_mosi_dare_mr05_s5576_e100,MOSI,0.5,multi-level,on,on,5576,100,0.4231,1.3321,0.8122,0.7313,0.4227,0.4898,0.8003,0.8014,0.7828,0.7832,official check on MOSI mr=0.5 seed=5576 epochs=100
official_mosi_dare_mr05_s1111_e100,MOSI,0.5,multi-level,on,on,1111,100,0.3886,1.3387,0.7714,0.7460,0.4315,0.5000,0.8018,0.8027,0.7857,0.7859,official MOSI mr=0.5 multi-seed check
official_mosi_dare_mr05_s2222_e100,MOSI,0.5,multi-level,on,on,2222,100,0.4046,1.3361,0.8180,0.7367,0.4198,0.4665,0.7942,0.7941,0.7755,0.7745,official MOSI mr=0.5 multi-seed check
official_mosi_dare_mr03_s5576_e100,MOSI,0.3,multi-level,on,on,5576,100,0.3186,1.3427,0.7577,0.7706,0.4329,0.4927,0.8476,0.8474,0.8251,0.8242,official MOSI mr=0.3 multi-seed check
official_mosi_dare_mr03_s1111_e100,MOSI,0.3,multi-level,on,on,1111,100,0.3750,1.3880,0.8026,0.7703,0.4125,0.4723,0.8003,0.8015,0.7915,0.7920,official MOSI mr=0.3 multi-seed check
official_mosi_dare_mr03_s2222_e100,MOSI,0.3,multi-level,on,on,2222,100,0.3584,1.3386,0.7611,0.7703,0.4431,0.5131,0.8277,0.8285,0.8120,0.8121,official MOSI mr=0.3 multi-seed check
official_mosi_dare_mr02_s5576_e100,MOSI,0.2,multi-level,on,on,5576,100,0.3736,1.3160,0.7329,0.7744,0.4665,0.5394,0.8338,0.8340,0.8192,0.8188,official MOSI mr=0.2 multi-seed check
official_mosi_dare_mr02_s1111_e100,MOSI,0.2,multi-level,on,on,1111,100,0.2523,1.2784,0.7547,0.7633,0.4490,0.5087,0.8308,0.8299,0.8090,0.8072,official MOSI mr=0.2 multi-seed check
official_mosi_dare_mr02_s2222_e100,MOSI,0.2,multi-level,on,on,2222,100,0.3470,1.3087,0.7611,0.7748,0.4417,0.4971,0.8308,0.8303,0.8163,0.8153,official MOSI mr=0.2 multi-seed check
official_mosei_dare_mr05_s5576_e100,MOSEI,0.5,multi-level,on,on,5576,100,0.3773,0.9985,0.5661,0.7308,0.5287,0.5445,0.8294,0.8277,0.8049,0.8081,official MOSEI mr=0.5 seed=5576 generalization check
official_mosei_dare_mr02_s5576_e100,MOSEI,0.2,multi-level,on,on,5576,100,0.3770,0.9856,0.5450,0.7538,0.5385,0.5551,0.8440,0.8434,0.8036,0.8088,official MOSEI mr=0.2 seed=5576 generalization check
official_mosei_dare_mr02_s1111_e100,MOSEI,0.2,multi-level,on,on,1111,100,,,,,,,,,,,official MOSEI mr=0.2 seed=1111 generalization multi-seed check
official_mosei_dare_mr02_s2222_e100,MOSEI,0.2,multi-level,on,on,2222,100,,,,,,,,,,,official MOSEI mr=0.2 seed=2222 generalization multi-seed check
official_mosei_dare_mr05_s1111_e100,MOSEI,0.5,multi-level,on,on,1111,100,,,,,,,,,,,official MOSEI mr=0.5 seed=1111 generalization multi-seed check
official_mosei_dare_mr05_s2222_e100,MOSEI,0.5,multi-level,on,on,2222,100,,,,,,,,,,,official MOSEI mr=0.5 seed=2222 generalization multi-seed check
